City Name,Zone Name,Ward name,Ward No ,Open space name/no,Open space heirarchy/ typology (refer to URDPFI),Open space area (in sqkm),Number of Tree (ward/public space street)
Lucknow,4,Rajeev gandhi I,NA,P6 Park No 2/20 in front and 2/21,NA,1540,NA
Lucknow,4,Rajeev gandhi I,NA,In front of P7 Park B2 No 2/31,NA,2983,NA
Lucknow,4,Rajeev gandhi I,NA,In front of P8 Park No 2/150,NA,6440,NA
Lucknow,4,Rajeev gandhi I,NA,P9 Park Bro No 3/316 and 326 Shiva Park,NA,2376,NA
Lucknow,4,Rajeev gandhi I,NA,P10 park no 3/24 front and 3 / 88,94,NA,36135,NA
Lucknow,4,Rajeev gandhi I,NA,In front of P11 Park Bhavan No 3/327 and 3/263,NA,3689,NA
Lucknow,4,Rajeev gandhi I,NA,P1 and 865 Raja Park in front of M / s 1/860,NA,1750,NA
Lucknow,4,Rajeev gandhi I,NA,P 2 Park in front of Bharat No 1/459,NA,2500,NA
Lucknow,4,Rajeev gandhi I,NA,P4 park and public market front in front of Bharti No 1/103,NA,2376,NA
Lucknow,4,Rajeev gandhi I,NA,P5 Park and 843 Panchavati Park in front of Bharat No 1/846,NA,1750,NA
Lucknow,4,Rajeev gandhi I,NA,P8 Park and 1124 in front of Bharat No 1/29,NA,5670,NA
Lucknow,4,Rajeev gandhi I,NA,P19 Park in front of Bharat No 1/17,NA,1210,NA
Lucknow,4,Rajeev gandhi I,NA,P22 Park in front of Bhavan No 1/85,NA,2025,NA
Lucknow,4,Rajeev gandhi I,NA,P1 park and 2/77 in front of Bharti No 2/72,NA,346775,NA
Lucknow,4,Rajeev gandhi I,NA,P4 Park and 2/358 in front of Bharat No 2/341,NA,988,NA
Lucknow,4,Rajeev gandhi I,NA,P6 Park and 343 Shakti Park in front of Bharti No 2/291,NA,1144,NA
Lucknow,4,Rajeev gandhi I,NA,P7 Park and 396 Integration Park in front of Bharat No 2/400,NA,1300,NA
Lucknow,4,Rajeev gandhi I,NA,Play ground / park,NA,10030,NA
Lucknow,4,Rajeev gandhi I,NA,P10 Park and 2/77 in front of Bharti No 2/72,NA,1833,NA
Lucknow,4,Rajeev gandhi I,NA,P1 park in front of Bharat No 3/258,NA,1189,NA
Lucknow,4,Rajeev gandhi I,NA,P3 park and 253, 206 in front of Bharat No 3/223,NA,1054,NA
Lucknow,4,Rajeev gandhi I,NA,P5 Parap and Santoshi Park in front of Bhatta 3/302 279,NA,2560,NA
Lucknow,4,Rajeev gandhi I,NA,P6 Park and 344 in front of Bharat No 3/464,NA,29025,NA
Lucknow,4,Rajeev gandhi I,NA,P7 Park in front of Bharat No 3/141,NA,89925,NA
Lucknow,4,Rajeev gandhi I,NA,P5 Park and 170 in front of Bharat No 4/244,NA,1225,NA
Lucknow,4,Rajeev gandhi I,NA,P4 Park in front of Bharti No 4/71,NA,2860,NA
Lucknow,4,Rajeev gandhi I,NA,P11 park in front of Bharat No 4/524,NA,1225,NA
Lucknow,4,Rajeev gandhi I,NA,P6 Park in front of Bharti No 4/338,NA,1440,NA
Lucknow,4,Rajeev gandhi I,NA,P2 Park and 2/122 Aman Park in front of  No 2/123,NA,475,NA
Lucknow,4,Rajeev gandhi I,NA,P3 park and 2/98 in front of No 2/92,NA,2625,NA
Lucknow,4,Rajeev gandhi I,NA,P5 Park and Vijaya Park in front of No 1/72,NA,1800,NA
Lucknow,4,Rajeev gandhi I,NA,P6 Park in front of No 1 1/30,NA,2025,NA
Lucknow,4,Rajeev gandhi I,NA,P7 Inspiration Park in front of No 1 1/34,NA,2961,NA
Lucknow,4,Rajeev gandhi I,NA,P1 Park in front of No 1/155,NA,1920,NA
Lucknow,4,Rajeev gandhi I,NA,P3 park in front of No 1/444,NA,2475,NA
Lucknow,4,Rajeev gandhi I,NA,P6 and Park Integration Park in front of No1C1/57,NA,2500,NA
Lucknow,4,Rajeev gandhi I,NA,P7 Park and Bhimrao Ambedkar Park in front of No L1/87,NA,2750,NA
Lucknow,4,Rajeev gandhi I,NA,P20 Park in front of Bhavan No 1/47,NA,1150,NA
Lucknow,4,Rajeev gandhi I,NA,P21 Park in front of No 1/4,NA,405,NA
Lucknow,4,Rajeev gandhi I,NA,P 2 Park in front of No 2/746,NA,676,NA
Lucknow,4,Rajeev gandhi I,NA,P3 park in front of No 2/568,NA,1092,NA
Lucknow,4,Rajeev gandhi I,NA,P 2 Park in front of 3/105,NA,3650,NA
Lucknow,4,Rajeev gandhi I,NA,P9 Park in front of No 3/464,NA,16443,NA
Lucknow,4,Rajeev gandhi I,NA,P11 park in front of No 3/212,NA,1225,NA
Lucknow,4,Rajeev gandhi I,NA,P1 park and public park in front of No 2/42,NA,6650,NA
Lucknow,4,Rajeev gandhi I,NA,P4 Park in front of No 2/242,NA,1015,NA
Lucknow,4,Rajeev gandhi I,NA,Park Nawab Purva Village P15 in front of Ramji Ply,NA,3135,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park front of 1/24,NA,5400,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of Bharat No 1/331,NA,2100,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of 2/156,NA,3648,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park and 105, park 55 tanks in front of No 3/113,NA,3420,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of number 1 1/5,NA,702,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of Bharti No 1/1083,NA,150,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park and 1 / 982,1007 in front of No 1/979,NA,1406,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of No 2/9,NA,4116,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of number 2/243,NA,3968,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park and 2/312 in front of No 2/292,NA,2303,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park and 3/178 in front of 3/152,NA,2871,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 3/146,NA,2064,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 3/30,NA,1428,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park and 4/41 in front of  No 4/42,NA,5220,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of No 4A / 36,NA,252,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park and 4/138 in front of  No 4/152,NA,1952,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of 4/159,NA,1600,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 5/40,NA,736,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park and 1/19 in front of  No 1/22,NA,3182,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park and 1/114 in front of  No 1 1/31,NA,4144,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 2/12,NA,1984,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park and 2/45 in front of Bhatinda No 2/42,NA,6550,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park and 3/257 in front of  No 3/299,NA,1736,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 3/132 and park with 3/20,181,156 tank,NA,5280,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park and 4/109 in front of  No 4/99,NA,7314,NA
Lucknow,4,Rafi ahmed kidwai,NA,Parks and 5/75,93 in front of  No 5/67,NA,5123,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 5/215,NA,10005,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park and Gandy Park in front of  No 5/58,NA,7918,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of No 2/17,NA,1188,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 2/322,NA,3835,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of 3/205,NA,1598,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 3/689,NA,1188,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of No 5/818C,NA,608,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 5/520,NA,250,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 5/824,NA,1120,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 5/246,NA,1224,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of Bhuj No 5/235,NA,224,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 5/223,NA,224,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 4/129,NA,1178,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 1/4,NA,864,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 1/311,NA,240,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of the number 1/426,NA,324,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 1/58 9,NA,270,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of the number 1 1/510,NA,360,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 1/662,NA,324,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 1/703,NA,117,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 1/1045,NA,800,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 1/855,NA,310,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 1/808,NA,832,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of  No 2/75,NA,2530,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of No 3/372,NA,3654,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of Bharat No 3/362,NA,2448,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of number 3/210,NA,5824,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of Bhoomi 3/38,NA,1722,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of Bharti No 3 / A62,NA,345,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of BS No 3A / 21,NA,156,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of Bharat No 4/26,NA,1677,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of Bhuj No 4 4/146,NA,700,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of BS No 4A / 195,NA,171,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of Bharti No 4A / 198,NA,192,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park in front of BS No 4A / 206,NA,399,NA
Lucknow,4,Rafi ahmed kidwai,NA,Park before 5/105,NA,8428,NA
Lucknow,4,Gomti Nagar,NA,Park in front of B112 in Brahmpuri,NA,400,NA
Lucknow,4,Gomti Nagar,NA,Park near Jugouni Crossing in Brahmapuri,NA,1800,NA
Lucknow,4,Gomti Nagar,NA,Park near HALL at Brahmapuri,NA,238,NA
Lucknow,5,Kesri kheda,NA,Gandhi Park,NA,1670,NA
Lucknow,5,Chitragupta nagar,NA,SectorJ Narayanpur Park (Traffic Park),NA,110085,NA
Lucknow,5,Chitragupta nagar,NA,Indralok Colony SectorF Park,NA,2256,NA
Lucknow,5,Chitragupta nagar,NA,Vijay Nagar East Park,NA,476191,NA
Lucknow,5,Chitragupta nagar,NA,Vijay Nagar Western Park,NA,4268,NA
Lucknow,5,Chitragupta nagar,NA,Indralok SectorL Bharat Mata Temple Park,NA,3248,NA
Lucknow,5,Chitragupta nagar,NA,Phase2 temple park site,NA,37675,NA
Lucknow,5,Chitragupta nagar,NA,Ambedkar Park,NA,12495,NA
Lucknow,5,Chitragupta nagar,NA,Shiva Park,NA,61535,NA
Lucknow,5,Ramji lal nagar,NA,Indira Park in Ram Nagar,NA,480,NA
Lucknow,5,Om nagar,NA,Chandar Nagar Gol Section Park,NA,436,NA
Lucknow,5,Om nagar,NA,Chandar Nagar Gulab Bhatika Park,NA,2687,NA
Lucknow,5,Om nagar,NA,Chandar Nagar Park,NA,1425,NA
Lucknow,5,Geetapalli,NA,Tulsi gardens park,NA,0,NA
Lucknow,5,Geetapalli,NA,Ambedkar Park,NA,0,NA
Lucknow,5,Guru Govind singh ,NA,Arjun Nagar Transformer Park,NA,476,NA
Lucknow,5,Guru Govind singh ,NA,Peepal Park in Adarsh ??Nagar,NA,1848,NA
Lucknow,5,Guru Govind singh ,NA,Adarsh ??Nagar Park,NA,8832,NA
Lucknow,5,Guru Govind singh ,NA,Patel municipal park,NA,4741,NA
Lucknow,5,Guru Govind singh ,NA,Anand Nagar Park,NA,2300,NA
Lucknow,5,Guru Govind singh ,NA,Park in front of Anand Nagar LPS School,NA,875,NA
Lucknow,5,Guru nanak nagar,NA,Vishwar Nagar Park,NA,900,NA
Lucknow,6,Sheetla devi,NA,Tikait Rai Colony Park beside water tank,NA,409025,NA
Lucknow,6,Sheetla devi,NA,Park in front of Secretariat Colony in Tikait Rai Colony P,NA,3022,NA
Lucknow,6,Sheetla devi,NA,Next to the cemetery in Tikait Rai Colony,NA,275,NA
Lucknow,6,Sheetla devi,NA,Near the house of Sri Ram Lal Singh in Tikait Rai Colony P,NA,1487,NA
Lucknow,6,Sheetla devi,NA,Near the house of Guddu Mishra in Tikait Rai Colony,NA,550,NA
Lucknow,6,Sheetla devi,NA,Nabasta Park,NA,1965,NA
Lucknow,6,Sheetla devi,NA,Sheetla Square Park,NA,507,NA
Lucknow,6,Sheetla devi,NA,Near the house of Mr Suresh Srivastava MLA in Tikait Rai Colony,NA,127462,NA
Lucknow,6,Sheetla devi,NA,Near the house of Mr Sanjay Shrivastav in Tikait Rai Colony,NA,77268,NA
Lucknow,6,Sheetla devi,NA,Near the house of Mr Sunil Srivastava in Tikait Rai Colony,NA,868,NA
Lucknow,6,Balaganj,NA,Balaganj Gopal Nagar Park,NA,1551,NA
Lucknow,6,Balaganj,NA,Railway Colony near M / s 59,NA,1440,NA
Lucknow,6,Balaganj,NA,Railway Colony Vivekanand Park,NA,0,NA
Lucknow,6,Balaganj,NA,Near Anup Bajpai in Railway Colony,NA,199875,NA
Lucknow,6,Kashmiri mohalla,NA,Car Park Park Cashmere Mulla Park,NA,7150,NA
Lucknow,6,Kanhaiya madhopur,NA,In front of Azad Nagar A Block, Nos A / 180 and A / 175,NA,35125,NA
Lucknow,6,Kanhaiya madhopur,NA,Park in front of A / 383 and A / 353 in Azad Nagar A block,NA,0,NA
Lucknow,6,Kanhaiya madhopur,NA,Park in front of A / 311 and A / 306 in Azad Nagar A Block,NA,35525,NA
Lucknow,6,Kanhaiya madhopur,NA,Park in front of A / 436 and A / 448 in Azad Nagar A block,NA,646,NA
Lucknow,6,Kanhaiya madhopur,NA,Park in front of A / 264 and A / 131 in Azad Nagar A Block,NA,0,NA
Lucknow,6,Kanhaiya madhopur,NA,Park in front of B / 286 and B / 296 in Azad Nagar B Block,NA,48694,NA
Lucknow,6,Kanhaiya madhopur,NA,Park in front of B / 219 and B / 275 in Azad Nagar B Block,NA,3146,NA
Lucknow,6,Kanhaiya madhopur,NA,Park in front of B / 346 and B / 345 in Azad Nagar B Block,NA,546,NA
Lucknow,6,Kanhaiya madhopur,NA,In front of Azad Nagar A Block, No A / 64 and A / 95,NA,0,NA
Lucknow,6,Kanhaiya madhopur,NA,Park in front of B / 98 and B / 61 in Azad Nagar B Block,NA,0,NA
Lucknow,6,Mallahi tola I,NA,Mohini Purva Park,NA,393,NA
Lucknow,6,Mallahi tola I,NA,Sharga Park (near the house of councilor Tanvi Hussain),NA,189675,NA
Lucknow,6,Mallahi tola I,NA,Nagaria Park 1 near Nagaria Gandhi School,NA,440,NA
Lucknow,6,Mallahi tola I,NA,Mahmud Nagar (Akbari Gate) Park at the Municipal Corporation Shop,NA,336,NA
Lucknow,6,Mallahi tola I,NA,Lodhpurwa Park opposite the building of Shri Ramlal Saxena,NA,756,NA
Lucknow,6,Mallahi tola I,NA,Near Nagaria Park2 waste house,NA,46398,NA
Lucknow,6,Hussainabad,NA,Kudiaghat Park II,NA,100317,NA
Lucknow,6,Hussainabad,NA,Kudiaghat Park III,NA,266893,NA
Lucknow,6,Hussainabad,NA,Kudiaghat Park Pancham,NA,409137,NA
Lucknow,6,Hussainabad,NA,Park in front of plot number 55 and 58 in Napier Colony II,NA,11525,NA
Lucknow,6,Hussainabad,NA,Hand Star Begum Park,NA,393,NA
Lucknow,6,Hussainabad,NA,Kudiaghat Park First,NA,4680,NA
Lucknow,6,Hussainabad,NA,Kudiaghat Park IV,NA,35565,NA
Lucknow,6,Hussainabad,NA,Kudiaghat Park VI,NA,4940,NA
Lucknow,6,Bhawaniganj,NA,In front of National Colony Park Siddiqui Building,NA,195,NA
Lucknow,6,Bhawaniganj,NA,In front of the house of Ganeshpuri Park Devi Prasad,NA,1750,NA
Lucknow,6,Bhawaniganj,NA,Near Bhavniganj Park Gandhi Chabootara,NA,455,NA
Lucknow,6,Sahadatganj,NA,Bawley chawki,NA,1785,NA
Lucknow,6,Chowk,NA,Lajpat Nagar Park1,NA,375,NA
Lucknow,6,Chowk,NA,Lajpat Nagar Park2,NA,2625,NA
Lucknow,6,Chowk,NA,Sondhi Taila Park,NA,996,NA
Lucknow,6,Chowk,NA,Koneshwar fountain,NA,61544,NA
Lucknow,6,Chowk,NA,Chowk crossing park,NA,314,NA
Lucknow,6,Chowk,NA,Choti kaliji park,NA,4275,NA
Lucknow,6,Chowk,NA,Badi Kali Ji Park,NA,69955,NA
Lucknow,6,Chowk,NA,Shankari Toli street park,NA,16554,NA
Lucknow,6,Chowk,NA,Garden tola park,NA,6125,NA
Lucknow,6,Chowk,NA,Lajpat Nagar3,NA,372,NA
Lucknow,6,Chowk,NA,Shankari Tola Gali Park2,NA,13932,NA
Lucknow,6,Chowk,NA,Banwali Gali Park,NA,16554,NA
Lucknow,6,Chowk,NA,Near Kamala Nehru Park Batawali shop,NA,43114,NA
Lucknow,6,Chowk,NA,Near the pul gamma police park police check,NA,57593,NA
Lucknow,6,Chowk,NA,Nepali Kothi,NA,3894,NA
Lucknow,6,Ambarganj,NA,Mahabubganj Park (Ravidas Temple),NA,230535,NA
Lucknow,6,Acharya narendra dev,NA,Napier Colony Park,NA,0,NA
Lucknow,6,Acharya narendra dev,NA,Chaupatia small park,NA,1058,NA
Lucknow,6,Acharya narendra dev,NA,Kakkad Park,NA,57681,NA
Lucknow,6,Acharya narendra dev,NA,Chapitia Colony Park2,NA,67735,NA
Lucknow,6,Acharya narendra dev,NA,Bholanath Park Kua,NA,5978,NA
Lucknow,6,Acharya narendra dev,NA,Tailormade garden park,NA,90551,NA
Lucknow,6,Ashrfabad,NA,Hiran Park,NA,68773,NA
Lucknow,6,Ashrfabad,NA,Sarai Beach Park,NA,18525,NA
Lucknow,6,Gadipeer khan,NA,Krishnaapuri Mohalla,NA,782,NA
Lucknow,6,Gadipeer khan,NA,Azad Nagar Part2,NA,1260,NA
Lucknow,6,Gadipeer khan,NA,Azad Nagar PartI,NA,2520,NA
Lucknow,6,Gadipeer khan,NA,Yasinanganj Park,NA,450,NA
Lucknow,7,Shaheed Bhagat singh,NA,Park near Shri Kamlesh Bharti in Makaroi Mahamaya Nagar,NA,1200,NA
Lucknow,7,Shaheed Bhagat singh,NA,Park in amarai harijan basti,NA,1200,NA
Lucknow,7,Shaheed Bhagat singh,NA,Ambedkar Park in Makarai Mahamaya Nagar,NA,1260,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharat No 14/580,NA,792,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharat No 14/517,NA,720,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of BS No 11/224 and 11/220,NA,1972,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharti No 11/815,NA,420,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharat No 14/330,NA,3675,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharat No 14/510,NA,1815,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharat No 14/434,NA,910,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bhuj No 14/377,NA,5265,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharat No 14/356,NA,464,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharti No 11/638,NA,2900,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharat No 11/598,NA,3570,NA
Lucknow,7,Indira Priyadarshini,NA,From 0414 park in front of Indiranagar M / s 14/1177,NA,25355,NA
Lucknow,7,Indira Priyadarshini,NA,From 0414 park in front of Indiranagar M No 1178,NA,22968,NA
Lucknow,7,Indira Priyadarshini,NA,Centrally park in front of Indiranagar M No 1126,NA,7226,NA
Lucknow,7,Indira Priyadarshini,NA,Centrally park in front of Indiranagar M No 1012,NA,44214,NA
Lucknow,7,Indira Priyadarshini,NA,Road to Indiranagar 001 1016 park,NA,24957,NA
Lucknow,7,Indira Priyadarshini,NA,Centrally park in front of Indiranagar M No 412,NA,17741,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharti No 11/392,NA,1311,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharti No 11/490,NA,400,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharat No 11/481,NA,400,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharat No 11/532,NA,816,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharat No 11/620,NA,39,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharti No 11/637,NA,0,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of BS No 11/600,NA,468,NA
Lucknow,7,Indira Priyadarshini,NA,Park in front of Bharat No 11/728,NA,108275,NA
Lucknow,7,Indira nagar,NA,Park in front of BS No 2166,NA,212241,NA
Lucknow,7,Indira nagar,NA,Park in front of BSD239,NA,220419,NA
Lucknow,7,Indira nagar,NA,Park in front of Bharat No C2243/4,NA,33959,NA
Lucknow,7,Indira nagar,NA,Park in front of BS No 2165/4,NA,746,NA
Lucknow,7,Indira nagar,NA,Park in front of the number 15/128,NA,14175,NA
Lucknow,7,Indira nagar,NA,Park in front of Bharat No 15/160,NA,236667,NA
Lucknow,7,Indira nagar,NA,Park in front of number 15/23,NA,235948,NA
Lucknow,7,Indira nagar,NA,Park in front of Bharat No 18/496,NA,15162,NA
Lucknow,7,Indira nagar,NA,Park in front of Bharat No 18/519,NA,69435,NA
Lucknow,7,Indira nagar,NA,Park in front of Bharat No 18/448,NA,1771,NA
Lucknow,7,Indira nagar,NA,Park in front of Bharat No 18/265,NA,3227,NA
Lucknow,7,Indira nagar,NA,Park in front of Bharti No 18/93,NA,1659,NA
Lucknow,7,Indira nagar,NA,Park in front of Bharat No 18/185,NA,3255,NA
Lucknow,7,Indira nagar,NA,Park in front of Bharat No 13/92,NA,1050,NA
Lucknow,7,Indira nagar,NA,Park in front of Bharat No 13/573,NA,1058,NA
Lucknow,7,Indira nagar,NA,Park in front of Bharat No 13/582,NA,14965,NA
Lucknow,7,Indira nagar,NA,Park before 8/220 to 8/211,NA,39064,NA
Lucknow,7,Indira nagar,NA,Park No 8/193 to 8/190 Park,NA,5481,NA
Lucknow,7,Indira nagar,NA,Park No 8/112 to 8/116 Park,NA,637,NA
Lucknow,7,Indira nagar,NA,Park before 8/104 to 8/106,NA,71824,NA
Lucknow,7,Indira nagar,NA,Park No 8/164 to 8/168 Park,NA,4921,NA
Lucknow,7,Indira nagar,NA,Park ahead of 8/81 to 8/88,NA,49518,NA
Lucknow,7,Indira nagar,NA,Park No 8/29 to 8/33 Park,NA,42587,NA
Lucknow,7,Indira nagar,NA,Park in front of Bharat No 8/151 to 8/152,NA,9504,NA
Lucknow,7,Indira nagar,NA,Park in front of Bharat No 12/74,NA,1760,NA
Lucknow,7,Indira nagar,NA,Park in front of Bharat No 12/450,NA,1428,NA
Lucknow,7,Indira nagar,NA,Park in front of Bharat No 12/392,NA,1500,NA
Lucknow,7,Indira nagar,NA,Contents of BSc 12/582,NA,1250,NA
Lucknow,7,Indira nagar,NA, Park before 12/573,NA,2100,NA
Lucknow,7,Indira nagar,NA, Park before 12/35,NA,1480,NA
Lucknow,7,Indira nagar,NA, Park before 12/290,NA,600,NA
Lucknow,7,Indira nagar,NA, Park in front of 13/42 and 13/49,NA,28365,NA
Lucknow,7,Indira nagar,NA, Park in front of 13/69 and 13/70,NA,262725,NA
Lucknow,7,Indira nagar,NA, Park before 13/261 and 13/92,NA,1337,NA
Lucknow,7,Indira nagar,NA, Park in front of 13/320 and 13/321,NA,8944,NA
Lucknow,7,Indira nagar,NA, Park before 13/372,NA,744,NA
Lucknow,7,Indira nagar,NA, Park before 8/317,NA,1908,NA
Lucknow,7,Indira nagar,NA, Park in front of 8/180 and 8/190,NA,677,NA
Lucknow,7,Indira nagar,NA, Park before 8/516,NA,525,NA
Lucknow,7,Indira nagar,NA,Park front of building number B322,NA,473,NA
Lucknow,7,Indira nagar,NA,Park front of building number B234,NA,3325,NA
Lucknow,7,Indira nagar,NA, Park in front of B2810,NA,1755,NA
Lucknow,7,Indira nagar,NA, Park in front of D2292,NA,8567,NA
Lucknow,7,Indira nagar,NA, Park in front of D2159,NA,133816,NA
Lucknow,7,Indira nagar,NA, Park in front of C2181 / 5,NA,72638,NA
Lucknow,7,Indira nagar,NA, Park in front of Sea2169/5,NA,663,NA
Lucknow,7,Indira nagar,NA, Park in front of C2039/1,NA,18112,NA
Lucknow,7,Indira nagar,NA, Park in front of C2312/4,NA,2247,NA
Lucknow,7,Indira nagar,NA, Park in front of C2107/5,NA,372,NA
Lucknow,7,Indira nagar,NA, Park in front of C2131 / 1,NA,531,NA
Lucknow,7,Indira nagar,NA, Park in front of C2057/2,NA,110,NA
Lucknow,7,Indira nagar,NA, Park before 15/176,NA,6685,NA
Lucknow,7,Indira nagar,NA, Park before 18/530,NA,27092,NA
Lucknow,7,Indira nagar,NA, Park in front of 18/554,NA,2009,NA
Lucknow,7,Indira nagar,NA, Park before 18/571,NA,41134,NA
Lucknow,7,Indira nagar,NA, Park before 12/726,NA,754,NA
Lucknow,7,Indira nagar,NA, Park in front of 12/760,NA,320,NA
Lucknow,7,Indira nagar,NA, Park before 13/514,NA,3150,NA
Lucknow,7,Indira nagar,NA, Park 8/212 to 8/215,NA,306,NA
Lucknow,7,Indira nagar,NA, Park in front of 12/667,NA,720,NA
Lucknow,7,Indira nagar,NA, Park before 12/242,NA,750,NA
Lucknow,7,Indira nagar,NA, Park before 12/263,NA,150,NA
Lucknow,7,Indira nagar,NA, Park before 13/140 and 13/150,NA,13875,NA
Lucknow,7,Indira nagar,NA,Park in front of 13/214 and 13/212,NA,980,NA
Lucknow,7,Indira nagar,NA,Park ahead of building numberB2120,NA,63135,NA
Lucknow,7,Indira nagar,NA,Park front of building numberB2074,NA,59784,NA
Lucknow,7,Indira nagar,NA,Park number B2710 park,NA,224,NA
Lucknow,7,Indira nagar,NA,Park front of building number B2792,NA,25365,NA
Lucknow,7,Ismailganj I,NA, Park before 9/828,NA,17775,NA
Lucknow,7,Ismailganj I,NA,Park in front of M No 66 in Devnagar,NA,371,NA
Lucknow,7,Ismailganj I,NA,Vaishali Enclave in front of number 68,NA,1200,NA
Lucknow,7,Ismailganj I,NA, Park in front of 9/128,NA,141375,NA
Lucknow,7,Ismailganj I,NA, Park before 9/262,NA,23625,NA
Lucknow,7,Ismailganj I,NA, Park before 9/779,NA,6758,NA
Lucknow,7,Ismailganj I,NA, Park before 9/1018,NA,3225,NA
Lucknow,7,Ismailganj I,NA, Park in front of 9/654,NA,990,NA
Lucknow,7,Ismailganj I,NA, Park in front of 10/430,NA,740,NA
Lucknow,7,Ismailganj I,NA, Park before 10/518,NA,84525,NA
